nbp,iteration,calc_transfer_s
7,0,0.001258
7,1,0.014848
7,2,0.026116
7,3,0.056673
7,4,0.043392
7,5,0.028906
7,6,0.027466
7,7,0.030610
7,8,0.033096
7,9,0.029945
7,10,0.030813
7,11,0.031274
7,12,0.031595
7,13,0.031370
7,14,0.033469
7,15,0.028594
7,16,0.031828
7,17,0.032012
7,18,0.029221
7,19,0.033818
7,20,0.032509
7,21,0.030999
7,22,0.038491
7,23,0.027691
7,24,0.029982
7,25,0.027288
7,26,0.031643
7,27,0.029436
7,28,0.029846
7,29,0.034482
7,30,0.031786
7,31,0.030031
7,32,0.038483
7,33,0.030576
7,34,0.033827
7,35,0.029843
7,36,0.041034
7,37,0.029382
7,38,0.030682
7,39,0.036448
7,40,0.029809
7,41,0.030614
7,42,0.035810
7,43,0.036311
7,44,0.025750
7,45,0.032917
7,46,0.028072
7,47,0.027085
7,48,0.030709
7,49,0.031178
7,50,0.029294
7,51,0.026989
7,52,0.029478
7,53,0.038884
7,54,0.027698
7,55,0.035007
7,56,0.028361
7,57,0.035223
7,58,0.031635
7,59,0.029477
7,60,0.156830
7,61,0.032616
7,62,0.054877
7,63,0.030631
7,64,0.034617
7,65,0.032864
7,66,0.037477
7,67,0.028724
7,68,0.033462
7,69,0.033383
7,70,0.034650
7,71,0.031841
7,72,0.028981
7,73,0.030910
7,74,0.028672
7,75,0.037331
7,76,0.073154
7,77,0.034662
7,78,0.032299
7,79,0.037112
7,80,0.033466
7,81,0.031800
7,82,0.031937
7,83,0.029355
7,84,0.033673
7,85,0.029189
7,86,0.029825
7,87,0.033153
7,88,0.028972
7,89,0.030164
7,90,0.052383
7,91,0.036318
7,92,0.031131
7,93,0.036222
7,94,0.046014
7,95,0.034283
7,96,0.033336
7,97,0.030517
7,98,0.032105
7,99,0.031185
7,100,0.034372
7,101,0.032601
7,102,0.029366
7,103,0.030208
7,104,0.034723
7,105,0.036502
7,106,0.037085
7,107,0.036331
7,108,0.029164
7,109,0.035244
7,110,0.030077
7,111,0.032519
7,112,0.031116
7,113,0.027200
7,114,0.033130
7,115,0.033320
7,116,0.030884
7,117,0.034402
7,118,0.030433
7,119,0.035084
7,120,0.029817
7,121,0.028948
7,122,0.029629
7,123,0.030449
7,124,0.031683
7,125,0.032554
7,126,0.029622
7,127,0.029176
7,128,0.030286
7,129,0.031373
7,130,0.028921
7,131,0.030395
7,132,0.037451
7,133,0.028384
7,134,0.033024
7,135,0.030295
7,136,0.034748
7,137,0.032369
7,138,0.029196
7,139,0.030212
7,140,0.031597
7,141,0.043133
7,142,0.033222
7,143,0.045105
7,144,0.038770
7,145,0.028327
7,146,0.041663
7,147,0.031886
7,148,0.029793
7,149,0.036090
7,150,0.028054
7,151,0.031023
7,152,0.034524
7,153,0.034988
7,154,0.032414
7,155,0.037399
7,156,0.034144
7,157,0.029706
7,158,0.032424
7,159,0.029389
7,160,0.028949
7,161,0.036134
7,162,0.040163
7,163,0.030355
7,164,0.036485
7,165,0.034338
7,166,0.028930
7,167,0.038527
7,168,0.028717
7,169,0.030243
7,170,0.032955
7,171,0.030675
7,172,0.032190
7,173,0.031941
7,174,0.031015
7,175,0.027693
7,176,0.030524
7,177,0.032018
7,178,0.036175
7,179,0.028811
7,180,0.028826
7,181,0.037915
7,182,0.028194
7,183,0.031164
7,184,0.035616
7,185,0.031692
7,186,0.028608
7,187,0.033698
7,188,0.031648
7,189,0.034732
7,190,0.033774
7,191,0.029589
7,192,0.028725
7,193,0.028356
7,194,0.029947
7,195,0.028808
7,196,0.035309
7,197,0.032173
7,198,0.033595
