nbp,iteration,calc_transfer_s
1,0,0.001353
1,1,0.094291
1,2,0.131488
1,3,0.127218
1,4,0.126915
1,5,0.126482
1,6,0.126892
1,7,0.129412
1,8,0.127511
1,9,0.128353
1,10,0.126835
1,11,0.126765
1,12,0.126169
1,13,0.126262
1,14,0.128249
1,15,0.125309
1,16,0.125307
1,17,0.125753
1,18,0.125726
1,19,0.125379
1,20,0.127427
1,21,0.125089
1,22,0.125585
1,23,0.125310
1,24,0.126316
1,25,0.125586
1,26,0.125065
1,27,0.125348
1,28,0.124863
1,29,0.125249
1,30,0.125602
1,31,0.125317
1,32,0.124658
1,33,0.125335
1,34,0.125702
1,35,0.125588
1,36,0.125360
1,37,0.128242
1,38,0.126482
1,39,0.125325
1,40,0.124906
1,41,0.125473
1,42,0.125226
1,43,0.125052
1,44,0.125181
1,45,0.125990
1,46,0.125022
1,47,0.125292
1,48,0.125320
1,49,0.125501
1,50,0.125545
1,51,0.124810
1,52,0.125720
1,53,0.125212
1,54,0.125309
1,55,0.125155
1,56,0.125908
1,57,0.125295
1,58,0.125639
1,59,0.125761
1,60,0.125530
1,61,0.125601
1,62,0.125746
1,63,0.124896
1,64,0.125120
1,65,0.125109
1,66,0.124736
1,67,0.125177
1,68,0.125344
1,69,0.125129
1,70,0.125980
1,71,0.125029
1,72,0.125018
1,73,0.125164
1,74,0.124890
1,75,0.124986
1,76,0.125249
1,77,0.125591
1,78,0.125423
1,79,0.124992
1,80,0.125731
1,81,0.125619
1,82,0.125080
1,83,0.125182
1,84,0.125293
1,85,0.125480
1,86,0.125356
1,87,0.125357
1,88,0.114108
1,89,0.125261
1,90,0.125432
1,91,0.124964
1,92,0.125360
1,93,0.124691
1,94,0.124198
1,95,0.124632
1,96,0.125813
1,97,0.125164
1,98,0.125058
1,99,0.124663
1,100,0.125723
1,101,0.124883
1,102,0.130773
1,103,0.126617
1,104,0.128204
1,105,0.126481
1,106,0.144277
1,107,0.126434
1,108,0.127014
1,109,0.125535
1,110,0.125972
1,111,0.125193
1,112,0.125733
1,113,0.125663
1,114,0.125714
1,115,0.125960
1,116,0.126156
1,117,0.125719
1,118,0.125598
1,119,0.125463
1,120,0.125803
1,121,0.125237
1,122,0.125610
1,123,0.126227
1,124,0.126367
1,125,0.125896
1,126,0.126000
1,127,0.125411
1,128,0.124637
1,129,0.125616
1,130,0.124643
1,131,0.125678
1,132,0.125459
1,133,0.125024
1,134,0.125346
1,135,0.125351
1,136,0.125456
1,137,0.125584
1,138,0.125286
1,139,0.125122
1,140,0.125312
1,141,0.125117
1,142,0.125667
1,143,0.125918
1,144,0.125869
1,145,0.125721
1,146,0.126044
1,147,0.126178
1,148,0.126132
1,149,0.125699
1,150,0.125814
1,151,0.125254
1,152,0.125357
1,153,0.125870
1,154,0.125574
1,155,0.125879
1,156,0.126105
1,157,0.125200
1,158,0.125605
1,159,0.125806
1,160,0.125846
1,161,0.125912
1,162,0.125711
1,163,0.125532
1,164,0.125651
1,165,0.125157
1,166,0.125749
1,167,0.125546
1,168,0.125435
1,169,0.126158
1,170,0.125566
1,171,0.125491
1,172,0.122313
1,173,0.125675
1,174,0.125417
1,175,0.125558
1,176,0.125168
1,177,0.125372
1,178,0.125863
1,179,0.125707
1,180,0.125855
1,181,0.126051
1,182,0.125854
1,183,0.125635
1,184,0.125729
1,185,0.125803
1,186,0.125495
1,187,0.125592
1,188,0.125607
1,189,0.125522
1,190,0.125993
1,191,0.125705
1,192,0.125517
1,193,0.126104
1,194,0.125777
1,195,0.126058
1,196,0.125930
1,197,0.126064
1,198,0.125866
