nbp,iteration,calc_transfer_s
3,0,0.000706
3,1,0.009317
3,2,0.047275
3,3,0.048618
3,4,0.051877
3,5,0.044263
3,6,0.043359
3,7,0.045108
3,8,0.044817
3,9,0.043612
3,10,0.043390
3,11,0.043242
3,12,0.043441
3,13,0.043163
3,14,0.043379
3,15,0.039586
3,16,0.044233
3,17,0.044109
3,18,0.044039
3,19,0.043978
3,20,0.044416
3,21,0.044441
3,22,0.044941
3,23,0.044103
3,24,0.044705
3,25,0.044577
3,26,0.044101
3,27,0.044023
3,28,0.044050
3,29,0.045184
3,30,0.045126
3,31,0.044049
3,32,0.045895
3,33,0.044581
3,34,0.044786
3,35,0.045294
3,36,0.045119
3,37,0.000017
3,38,0.000033
3,39,0.044416
3,40,0.042467
3,41,0.044837
3,42,0.045361
3,43,0.044690
3,44,0.045127
3,45,0.044895
3,46,0.045215
3,47,0.045666
3,48,0.044935
3,49,0.044976
3,50,0.044851
3,51,0.044981
3,52,0.045021
3,53,0.046026
3,54,0.045765
3,55,0.045563
3,56,0.045682
3,57,0.045558
3,58,0.045806
3,59,0.045658
3,60,0.045466
3,61,0.045536
3,62,0.045378
3,63,0.045422
3,64,0.045750
3,65,0.045482
3,66,0.045608
3,67,0.045705
3,68,0.045799
3,69,0.045649
3,70,0.045426
3,71,0.045504
3,72,0.045901
3,73,0.045935
3,74,0.045686
3,75,0.045699
3,76,0.045739
3,77,0.045771
3,78,0.045566
3,79,0.045454
3,80,0.055585
3,81,0.045847
3,82,0.045608
3,83,0.046248
3,84,0.045814
3,85,0.048099
3,86,0.045644
3,87,0.046030
3,88,0.045779
3,89,0.045596
3,90,0.045517
3,91,0.045616
3,92,0.045737
3,93,0.045983
3,94,0.046276
3,95,0.045954
3,96,0.046048
3,97,0.045772
3,98,0.046245
3,99,0.045935
3,100,0.045965
3,101,0.046031
3,102,0.046546
3,103,0.046266
3,104,0.045711
3,105,0.047903
3,106,0.046033
3,107,0.046019
3,108,0.045829
3,109,0.048663
3,110,0.045923
3,111,0.045858
3,112,0.045975
3,113,0.046105
3,114,0.046061
3,115,0.046075
3,116,0.046372
3,117,0.046437
3,118,0.046020
3,119,0.046175
3,120,0.046327
3,121,0.046185
3,122,0.046276
3,123,0.046072
3,124,0.046254
3,125,0.046168
3,126,0.046165
3,127,0.046334
3,128,0.046353
3,129,0.046172
3,130,0.046188
3,131,0.046234
3,132,0.049348
3,133,0.045864
3,134,0.046338
3,135,0.046108
3,136,0.046361
3,137,0.047286
3,138,0.046246
3,139,0.045885
3,140,0.046404
3,141,0.046167
3,142,0.046011
3,143,0.046170
3,144,0.046072
3,145,0.046006
3,146,0.055655
3,147,0.046588
3,148,0.046245
3,149,0.046260
3,150,0.046135
3,151,0.049054
3,152,0.046371
3,153,0.046022
3,154,0.046709
3,155,0.046910
3,156,0.046172
3,157,0.046060
3,158,0.046120
3,159,0.046296
3,160,0.046196
3,161,0.046017
3,162,0.045944
3,163,0.046049
3,164,0.046159
3,165,0.046418
3,166,0.046389
3,167,0.046143
3,168,0.046273
3,169,0.046661
3,170,0.046297
3,171,0.046265
3,172,0.046364
3,173,0.046307
3,174,0.046007
3,175,0.046461
3,176,0.046326
3,177,0.046758
3,178,0.046339
3,179,0.046949
3,180,0.046421
3,181,0.043558
3,182,0.046488
3,183,0.046506
3,184,0.049627
3,185,0.046445
3,186,0.046439
3,187,0.046279
3,188,0.049920
3,189,0.046632
3,190,0.056382
3,191,0.046425
3,192,0.046331
3,193,0.046328
3,194,0.046551
3,195,0.046315
3,196,0.046556
3,197,0.046730
3,198,0.046459
