nbp,iteration,calc_transfer_s
2,0,0.001631
2,1,0.016262
2,2,0.036588
2,3,0.015673
2,4,0.038505
2,5,0.010698
2,6,0.041388
2,7,0.008874
2,8,0.042910
2,9,0.000950
2,10,0.053697
2,11,0.003892
2,12,0.050554
2,13,0.004111
2,14,0.050388
2,15,0.003621
2,16,0.051137
2,17,0.003633
2,18,0.049899
2,19,0.003628
2,20,0.051094
2,21,0.003608
2,22,0.051123
2,23,0.003626
2,24,0.051033
2,25,0.003624
2,26,0.046570
2,27,0.003543
2,28,0.051130
2,29,0.003563
2,30,0.051106
2,31,0.003525
2,32,0.046713
2,33,0.003515
2,34,0.049478
2,35,0.003559
2,36,0.050645
2,37,0.003950
2,38,0.049970
2,39,0.003520
2,40,0.051240
2,41,0.003584
2,42,0.047321
2,43,0.003524
2,44,0.051216
2,45,0.003601
2,46,0.051129
2,47,0.003520
2,48,0.051294
2,49,0.003519
2,50,0.051295
2,51,0.003523
2,52,0.051164
2,53,0.003569
2,54,0.051192
2,55,0.003578
2,56,0.049268
2,57,0.003541
2,58,0.051314
2,59,0.000013
2,60,0.054669
2,61,0.003382
2,62,0.052063
2,63,0.003478
2,64,0.047078
2,65,0.003546
2,66,0.048042
2,67,0.003538
2,68,0.051307
2,69,0.003539
2,70,0.051203
2,71,0.003525
2,72,0.048172
2,73,0.001050
2,74,0.052639
2,75,0.003510
2,76,0.050203
2,77,0.000738
2,78,0.052987
2,79,0.003637
2,80,0.050073
2,81,0.003564
2,82,0.050118
2,83,0.003592
2,84,0.050114
2,85,0.003587
2,86,0.050117
2,87,0.003540
2,88,0.050230
2,89,0.003569
2,90,0.050045
2,91,0.003648
2,92,0.050156
2,93,0.003596
2,94,0.049997
2,95,0.003576
2,96,0.050201
2,97,0.003536
2,98,0.050089
2,99,0.003668
2,100,0.049980
2,101,0.003566
2,102,0.050055
2,103,0.003691
2,104,0.045589
2,105,0.004285
2,106,0.049332
2,107,0.003564
2,108,0.050077
2,109,0.003575
2,110,0.050052
2,111,0.003595
2,112,0.049998
2,113,0.003558
2,114,0.048496
2,115,0.003633
2,116,0.049963
2,117,0.003550
2,118,0.050126
2,119,0.003538
2,120,0.050277
2,121,0.003555
2,122,0.050116
2,123,0.003574
2,124,0.046856
2,125,0.003555
2,126,0.050201
2,127,0.003522
2,128,0.048610
2,129,0.003564
2,130,0.048515
2,131,0.003504
2,132,0.050140
2,133,0.003542
2,134,0.050029
2,135,0.003510
2,136,0.050166
2,137,0.003576
2,138,0.050048
2,139,0.003577
2,140,0.050375
2,141,0.003638
2,142,0.050110
2,143,0.003595
2,144,0.050008
2,145,0.003560
2,146,0.045779
2,147,0.004110
2,148,0.050517
2,149,0.003787
2,150,0.051432
2,151,0.003492
2,152,0.048636
2,153,0.003617
2,154,0.049996
2,155,0.003634
2,156,0.050032
2,157,0.003586
2,158,0.050098
2,159,0.003632
2,160,0.050078
2,161,0.003532
2,162,0.050174
2,163,0.003557
2,164,0.050064
2,165,0.003511
2,166,0.050176
2,167,0.003629
2,168,0.050024
2,169,0.003583
2,170,0.050075
2,171,0.003636
2,172,0.049959
2,173,0.003575
2,174,0.050066
2,175,0.003635
2,176,0.051079
2,177,0.003945
2,178,0.047724
2,179,0.004203
2,180,0.044813
2,181,0.005094
2,182,0.049730
2,183,0.003729
2,184,0.049898
2,185,0.003641
2,186,0.045540
2,187,0.004405
2,188,0.049319
2,189,0.003543
2,190,0.050128
2,191,0.003539
2,192,0.046352
2,193,0.003609
2,194,0.050024
2,195,0.003582
2,196,0.049976
2,197,0.003734
2,198,0.046079
