nbp,iteration,calc_transfer_s
1,0,0.000088
1,1,0.018018
1,2,0.038207
1,3,0.009469
1,4,0.047537
1,5,0.003436
1,6,0.055071
1,7,0.008555
1,8,0.047550
1,9,0.004358
1,10,0.049161
1,11,0.007097
1,12,0.050872
1,13,0.007319
1,14,0.050799
1,15,0.006667
1,16,0.046459
1,17,0.006796
1,18,0.051287
1,19,0.006822
1,20,0.051381
1,21,0.006815
1,22,0.051286
1,23,0.007076
1,24,0.047666
1,25,0.006956
1,26,0.051283
1,27,0.006909
1,28,0.051300
1,29,0.003648
1,30,0.054309
1,31,0.006459
1,32,0.051632
1,33,0.006677
1,34,0.051452
1,35,0.006723
1,36,0.051478
1,37,0.006954
1,38,0.051374
1,39,0.006994
1,40,0.051392
1,41,0.006769
1,42,0.047274
1,43,0.006718
1,44,0.051293
1,45,0.006886
1,46,0.051280
1,47,0.006538
1,48,0.051845
1,49,0.007031
1,50,0.049556
1,51,0.007084
1,52,0.051250
1,53,0.007073
1,54,0.051168
1,55,0.006960
1,56,0.051190
1,57,0.007168
1,58,0.079224
1,59,0.008393
1,60,0.046536
1,61,0.003754
1,62,0.053256
1,63,0.007151
1,64,0.051363
1,65,0.007043
1,66,0.051421
1,67,0.006931
1,68,0.051565
1,69,0.007251
1,70,0.050922
1,71,0.006997
1,72,0.049617
1,73,0.007013
1,74,0.051220
1,75,0.007204
1,76,0.051326
1,77,0.007378
1,78,0.050931
1,79,0.007269
1,80,0.050751
1,81,0.006702
1,82,0.051485
1,83,0.006843
1,84,0.051326
1,85,0.007155
1,86,0.051237
1,87,0.006975
1,88,0.049495
1,89,0.007034
1,90,0.050453
1,91,0.006893
1,92,0.051477
1,93,0.007001
1,94,0.051364
1,95,0.006927
1,96,0.051376
1,97,0.006772
1,98,0.051337
1,99,0.006953
1,100,0.051368
1,101,0.006856
1,102,0.051271
1,103,0.006957
1,104,0.051191
1,105,0.006774
1,106,0.051310
1,107,0.006750
1,108,0.051309
1,109,0.006815
1,110,0.051322
1,111,0.006822
1,112,0.051246
1,113,0.006709
1,114,0.051524
1,115,0.007072
1,116,0.048064
1,117,0.007085
1,118,0.051114
1,119,0.006894
1,120,0.051282
1,121,0.006733
1,122,0.051434
1,123,0.006909
1,124,0.051402
1,125,0.006810
1,126,0.051197
1,127,0.007029
1,128,0.051568
1,129,0.006996
1,130,0.051003
1,131,0.006741
1,132,0.051667
1,133,0.006932
1,134,0.051317
1,135,0.006933
1,136,0.051333
1,137,0.007017
1,138,0.051420
1,139,0.006963
1,140,0.048608
1,141,0.006807
1,142,0.047074
1,143,0.006830
1,144,0.051372
1,145,0.006900
1,146,0.051311
1,147,0.006914
1,148,0.048308
1,149,0.006773
1,150,0.048285
1,151,0.006866
1,152,0.051344
1,153,0.007021
1,154,0.051175
1,155,0.006803
1,156,0.058971
1,157,0.010101
1,158,0.044236
1,159,0.009428
1,160,0.048890
1,161,0.006958
1,162,0.051331
1,163,0.006886
1,164,0.051371
1,165,0.006772
1,166,0.051429
1,167,0.006917
1,168,0.051380
1,169,0.007057
1,170,0.051545
1,171,0.006884
1,172,0.048537
1,173,0.006876
1,174,0.051400
1,175,0.007003
1,176,0.051179
1,177,0.006986
1,178,0.051214
1,179,0.006758
1,180,0.051439
1,181,0.006986
1,182,0.051356
1,183,0.007021
1,184,0.051185
1,185,0.007019
1,186,0.047991
1,187,0.007055
1,188,0.051088
1,189,0.006819
1,190,0.051353
1,191,0.006940
1,192,0.047837
1,193,0.006791
1,194,0.050034
1,195,0.006966
1,196,0.048333
1,197,0.007008
1,198,0.051264
