nbp,iteration,calc_transfer_s
6,0,0.141347
6,1,0.117557
6,2,0.131602
6,3,0.147471
6,4,0.112015
6,5,0.118736
6,6,0.105586
6,7,0.108034
6,8,0.113440
6,9,0.110896
6,10,0.103327
6,11,0.108929
6,12,0.105800
6,13,0.109429
6,14,0.111829
6,15,0.107776
6,16,0.103944
6,17,0.104441
6,18,0.103725
6,19,0.117296
6,20,0.106913
6,21,0.108616
6,22,0.104162
6,23,0.103637
6,24,0.108706
6,25,0.106908
6,26,0.107929
6,27,0.108202
6,28,0.103688
6,29,0.111397
6,30,0.108592
6,31,0.108671
6,32,0.108552
6,33,0.108797
6,34,0.113864
6,35,0.111921
6,36,0.109119
6,37,0.111009
6,38,0.108424
6,39,0.112443
6,40,0.114687
6,41,0.108241
6,42,0.108849
6,43,0.112424
6,44,0.109804
6,45,0.111204
6,46,0.110493
6,47,0.111950
6,48,0.109668
6,49,0.105351
6,50,0.109382
6,51,0.105178
6,52,0.106744
6,53,0.107856
6,54,0.107264
6,55,0.119207
6,56,0.106599
6,57,0.115314
6,58,0.121380
6,59,0.112214
6,60,0.110448
6,61,0.116635
6,62,0.115018
6,63,0.111519
6,64,0.117314
6,65,0.106586
6,66,0.105661
6,67,0.113784
6,68,0.115159
6,69,0.110753
6,70,0.119838
6,71,0.114899
6,72,0.110522
6,73,0.112880
6,74,0.114690
6,75,0.127592
6,76,0.122931
6,77,0.113539
6,78,0.116001
6,79,0.119942
6,80,0.117578
6,81,0.110301
6,82,0.116489
6,83,0.108958
6,84,0.113749
6,85,0.120241
6,86,0.113006
6,87,0.117153
6,88,0.111918
6,89,0.106580
6,90,0.111153
6,91,0.118134
6,92,0.110422
6,93,0.107209
6,94,0.121286
6,95,0.117058
6,96,0.120393
6,97,0.111536
6,98,0.110589
6,99,0.111599
6,100,0.118627
6,101,0.116860
6,102,0.111935
6,103,0.111349
6,104,0.118829
6,105,0.111856
6,106,0.107661
6,107,0.131399
6,108,0.110839
6,109,0.116414
6,110,0.119975
6,111,0.113786
6,112,0.123322
6,113,0.109163
6,114,0.115007
6,115,0.118871
6,116,0.112612
6,117,0.112771
6,118,0.111931
6,119,0.116319
6,120,0.112536
6,121,0.115787
6,122,0.112140
6,123,0.119627
6,124,0.120410
6,125,0.114583
6,126,0.120109
6,127,0.112589
6,128,0.124797
6,129,0.113137
6,130,0.118190
6,131,0.110248
6,132,0.112319
6,133,0.113891
6,134,0.111685
6,135,0.113964
6,136,0.122055
6,137,0.113251
6,138,0.111901
6,139,0.119353
6,140,0.107809
6,141,0.113092
6,142,0.116234
6,143,0.107306
6,144,0.118056
6,145,0.111671
6,146,0.120840
6,147,0.112938
6,148,0.115222
6,149,0.112518
6,150,0.117019
6,151,0.113025
6,152,0.115564
6,153,0.113587
6,154,0.114171
6,155,0.115522
6,156,0.115568
6,157,0.111892
6,158,0.112953
6,159,0.113562
6,160,0.118196
6,161,0.114613
6,162,0.112542
6,163,0.116790
6,164,0.114824
6,165,0.128857
6,166,0.113455
6,167,0.113129
6,168,0.112596
6,169,0.113810
6,170,0.115118
6,171,0.117277
6,172,0.117379
6,173,0.115151
6,174,0.120396
6,175,0.120697
6,176,0.115047
6,177,0.112183
6,178,0.121170
6,179,0.121500
6,180,0.111589
6,181,0.111614
6,182,0.111707
6,183,0.113351
6,184,0.113543
6,185,0.111959
6,186,0.114502
6,187,0.126863
6,188,0.113900
6,189,0.117600
6,190,0.120417
6,191,0.116244
6,192,0.115364
6,193,0.116564
6,194,0.115307
6,195,0.112045
6,196,0.111632
6,197,0.113277
6,198,0.117791
