nbp,iteration,calc_transfer_s,display_s
3,127,0.015330,0.007249
3,128,0.013906,0.006500
3,129,0.016443,0.006549
3,130,0.013811,0.006533
3,131,0.013715,0.007284
3,132,0.016077,0.007117
3,133,0.013654,0.006702
3,134,0.013719,0.006657
3,135,0.013738,0.006609
3,136,0.015003,0.007533
3,137,0.023607,0.006636
3,138,0.013540,0.006629
3,139,0.013690,0.006624
3,140,0.013676,0.006629
3,141,0.013758,0.006606
3,142,0.013677,0.006606
3,143,0.013724,0.006600
3,144,0.016013,0.007844
3,145,0.016045,0.006623
3,146,0.013712,0.006599
3,147,0.013574,0.006562
3,148,0.014306,0.007705
3,149,0.014003,0.007702
3,150,0.024119,0.006523
3,151,0.013671,0.006483
3,152,0.013586,0.006533
3,153,0.013645,0.006507
3,154,0.014604,0.007577
3,155,0.013511,0.006620
3,156,0.015561,0.006655
3,157,0.013616,0.006547
3,158,0.014954,0.006916
3,159,0.013588,0.006506
3,160,0.013978,0.007656
3,161,0.013953,0.006614
3,162,0.015006,0.007036
3,163,0.013561,0.006740
3,164,0.015744,0.006620
3,165,0.013438,0.006604
3,166,0.013696,0.006555
3,167,0.014215,0.007717
3,168,0.016307,0.007835
3,169,0.025930,0.006631
3,170,0.013766,0.007424
3,171,0.016297,0.007833
3,172,0.017598,0.007808
3,173,0.020286,0.007847
3,174,0.022301,0.007760
3,175,0.016376,0.007696
3,176,0.016364,0.007693
3,177,0.016303,0.007668
3,178,0.016349,0.007602
3,179,0.016260,0.007692
3,180,0.015095,0.006554
3,181,0.013804,0.006523
3,182,0.013708,0.006450
3,183,0.012727,0.005634
3,184,0.011877,0.006472
3,185,0.013758,0.006475
3,186,0.013285,0.005617
3,187,0.013221,0.006476
3,188,0.013567,0.006469
3,189,0.013679,0.006471
3,190,0.013796,0.006425
3,191,0.013908,0.006428
3,192,0.013590,0.006425
3,193,0.019822,0.006452
3,194,0.013595,0.006441
3,195,0.013667,0.006410
3,196,0.013816,0.006438
3,197,0.013652,0.006452
3,198,0.013778,0.006696
