nbp,iteration,calc_transfer_s,display_s
3,0,0.019900,0.006562
3,1,0.019563,0.008177
3,2,0.017589,0.007863
3,3,0.020892,0.009434
3,4,0.023285,0.009939
3,5,0.023091,0.009113
3,6,0.023518,0.009930
3,7,0.023846,0.009137
3,8,0.025742,0.009338
3,9,0.021017,0.009557
3,10,0.033948,0.008176
3,11,0.018522,0.007992
3,12,0.019703,0.008095
3,13,0.018507,0.007831
3,14,0.019625,0.007886
3,15,0.018037,0.007868
3,16,0.016057,0.006839
3,17,0.018810,0.006849
3,18,0.015946,0.006724
3,19,0.015844,0.006857
3,20,0.017826,0.008078
3,21,0.017497,0.008001
3,22,0.018084,0.007015
3,23,0.014579,0.006738
3,24,0.017056,0.007391
3,25,0.014214,0.006772
3,26,0.016181,0.006579
3,27,0.013792,0.007278
3,28,0.014873,0.007082
3,29,0.015028,0.006418
3,30,0.013949,0.006448
3,31,0.013873,0.006498
3,32,0.014982,0.007094
3,33,0.013849,0.006427
3,34,0.013782,0.006423
3,35,0.013722,0.007199
3,36,0.018884,0.006418
3,37,0.013822,0.006390
3,38,0.013790,0.006422
3,39,0.013736,0.006490
3,40,0.016953,0.006392
3,41,0.014021,0.006476
3,42,0.013709,0.006408
3,43,0.013625,0.006402
3,44,0.013729,0.006444
3,45,0.016886,0.006398
3,46,0.013577,0.006460
3,47,0.013604,0.006380
3,48,0.013600,0.006391
3,49,0.013589,0.006435
3,50,0.013611,0.006467
3,51,0.013826,0.006468
3,52,0.016039,0.007586
3,53,0.013618,0.006413
3,54,0.020117,0.006591
3,55,0.016661,0.007610
3,56,0.013839,0.006792
3,57,0.013679,0.006713
3,58,0.013802,0.006672
3,59,0.013629,0.006651
3,60,0.013822,0.006670
3,61,0.013657,0.007311
3,62,0.014840,0.006603
3,63,0.013725,0.006593
3,64,0.013533,0.006605
3,65,0.013765,0.006584
3,66,0.014260,0.007723
3,67,0.013756,0.006557
3,68,0.013561,0.006621
3,69,0.013492,0.006581
3,70,0.013803,0.006574
3,71,0.023739,0.006567
3,72,0.013568,0.006556
3,73,0.013509,0.006595
3,74,0.013711,0.006545
3,75,0.013582,0.006560
3,76,0.013466,0.006568
3,77,0.013566,0.006556
3,78,0.013488,0.006598
3,79,0.013581,0.006576
3,80,0.013661,0.007104
3,81,0.016085,0.007426
3,82,0.013652,0.006502
3,83,0.013595,0.006513
3,84,0.013461,0.006521
3,85,0.020680,0.006495
3,86,0.013528,0.006487
3,87,0.013513,0.006485
3,88,0.022939,0.006494
3,89,0.013570,0.006527
3,90,0.015230,0.006499
3,91,0.013487,0.007253
3,92,0.014769,0.006528
3,93,0.013869,0.007712
3,94,0.013645,0.007693
3,95,0.014013,0.006533
3,96,0.023862,0.006542
3,97,0.013575,0.006538
3,98,0.013828,0.006585
3,99,0.013538,0.006470
3,100,0.013884,0.006546
3,101,0.013679,0.006497
3,102,0.014630,0.006723
3,103,0.017238,0.007838
3,104,0.016166,0.007726
3,105,0.016217,0.006810
3,106,0.013622,0.006585
3,107,0.014398,0.007705
3,108,0.013579,0.006524
3,109,0.015351,0.006558
3,110,0.013474,0.006528
3,111,0.013606,0.006523
3,112,0.013609,0.007573
3,113,0.014436,0.006558
3,114,0.013516,0.006546
3,115,0.013372,0.006538
3,116,0.013458,0.007091
3,117,0.014968,0.006523
3,118,0.013468,0.006547
3,119,0.013793,0.007706
3,120,0.016238,0.006631
3,121,0.015395,0.006962
3,122,0.014928,0.007190
3,123,0.013631,0.006545
3,124,0.015898,0.006557
3,125,0.014378,0.006783
3,126,0.015355,0.006841
