nbp,iteration,calc_transfer_s
2,0,0.174747
2,1,0.173209
2,2,0.179312
2,3,0.177899
2,4,0.173213
2,5,0.174554
2,6,0.175296
2,7,0.175000
2,8,0.175048
2,9,0.174846
2,10,0.177272
2,11,0.178293
2,12,0.176590
2,13,0.176522
2,14,0.177618
2,15,0.177765
2,16,0.176518
2,17,0.176838
2,18,0.175727
2,19,0.176246
2,20,0.177131
2,21,0.177095
2,22,0.176773
2,23,0.176984
2,24,0.177046
2,25,0.176635
2,26,0.175950
2,27,0.176834
2,28,0.177282
2,29,0.176508
2,30,0.176684
2,31,0.176696
2,32,0.176174
2,33,0.175953
2,34,0.175999
2,35,0.177019
2,36,0.175992
2,37,0.175679
2,38,0.175759
2,39,0.176464
2,40,0.176488
2,41,0.175789
2,42,0.176341
2,43,0.176492
2,44,0.177008
2,45,0.176329
2,46,0.176119
2,47,0.176950
2,48,0.176277
2,49,0.176557
2,50,0.176596
2,51,0.177031
2,52,0.191482
2,53,0.181947
2,54,0.181329
2,55,0.180045
2,56,0.180790
2,57,0.179736
2,58,0.179153
2,59,0.179800
2,60,0.180148
2,61,0.177147
2,62,0.177416
2,63,0.180272
2,64,0.177914
2,65,0.179601
2,66,0.177956
2,67,0.177354
2,68,0.177812
2,69,0.178557
2,70,0.174787
2,71,0.176426
2,72,0.177942
2,73,0.175531
2,74,0.176056
2,75,0.176486
2,76,0.176768
2,77,0.177068
2,78,0.175757
2,79,0.177017
2,80,0.176910
2,81,0.175548
2,82,0.176631
2,83,0.176983
2,84,0.176219
2,85,0.176446
2,86,0.176038
2,87,0.177300
2,88,0.176464
2,89,0.176446
2,90,0.176202
2,91,0.175907
2,92,0.175661
2,93,0.176184
2,94,0.175410
2,95,0.175587
2,96,0.176278
2,97,0.175506
2,98,0.175568
2,99,0.176154
2,100,0.175720
2,101,0.176666
2,102,0.175311
2,103,0.176523
2,104,0.176978
2,105,0.175398
2,106,0.174972
2,107,0.175648
2,108,0.176648
2,109,0.176025
2,110,0.175476
2,111,0.176543
2,112,0.176211
2,113,0.176270
2,114,0.175945
2,115,0.176759
2,116,0.175561
2,117,0.175282
2,118,0.175678
2,119,0.176030
2,120,0.175615
2,121,0.175801
2,122,0.176179
2,123,0.175750
2,124,0.176363
2,125,0.176075
2,126,0.176089
2,127,0.175944
2,128,0.182749
2,129,0.180255
2,130,0.180364
2,131,0.181154
2,132,0.180763
2,133,0.176156
2,134,0.179660
2,135,0.183825
2,136,0.179709
2,137,0.178077
2,138,0.178395
2,139,0.178655
2,140,0.178434
2,141,0.177532
2,142,0.177072
2,143,0.179601
2,144,0.178520
2,145,0.177506
2,146,0.176747
2,147,0.178568
2,148,0.177582
2,149,0.177675
2,150,0.176795
2,151,0.177624
2,152,0.177828
2,153,0.178202
2,154,0.177327
2,155,0.177679
2,156,0.177620
2,157,0.177083
2,158,0.177463
2,159,0.177190
2,160,0.177072
2,161,0.176989
2,162,0.176825
2,163,0.177526
2,164,0.177430
2,165,0.177293
2,166,0.176167
2,167,0.176899
2,168,0.177163
2,169,0.175597
2,170,0.177372
2,171,0.175979
2,172,0.176927
2,173,0.177256
2,174,0.175859
2,175,0.177752
2,176,0.177696
2,177,0.177246
2,178,0.176511
2,179,0.177050
2,180,0.177241
2,181,0.176532
2,182,0.175992
2,183,0.192267
2,184,0.180825
2,185,0.181267
2,186,0.180286
2,187,0.179989
2,188,0.180526
2,189,0.178973
2,190,0.179336
2,191,0.179367
2,192,0.179307
2,193,0.178291
2,194,0.179532
2,195,0.179092
2,196,0.178823
2,197,0.177877
2,198,0.178882
