nbp,iteration,calc_transfer_s,display_s
7,0,0.021475,0.009107
7,1,0.026689,0.009590
7,2,0.020185,0.010282
7,3,0.025744,0.009330
7,4,0.038135,0.009619
7,5,0.029413,0.009055
7,6,0.030573,0.009687
7,7,0.017429,0.009882
7,8,0.027888,0.008101
7,9,0.011405,0.008712
7,10,0.018907,0.009474
7,11,0.018390,0.009503
7,12,0.020598,0.009723
7,13,0.018907,0.009398
7,14,0.012147,0.009599
7,15,0.018209,0.009545
7,16,0.012012,0.009444
7,17,0.021030,0.009635
7,18,0.015828,0.009318
7,19,0.013494,0.009446
7,20,0.012571,0.009433
7,21,0.016731,0.009497
7,22,0.013457,0.009459
7,23,0.018141,0.009582
7,24,0.013275,0.009424
7,25,0.012720,0.009420
7,26,0.011838,0.009401
7,27,0.013317,0.009361
7,28,0.012719,0.009352
7,29,0.019252,0.009371
7,30,0.012224,0.009392
7,31,0.011521,0.009318
7,32,0.013031,0.009222
7,33,0.019196,0.009228
7,34,0.012870,0.009250
7,35,0.011285,0.009224
7,36,0.013206,0.009161
7,37,0.012057,0.009181
7,38,0.013317,0.009255
7,39,0.011741,0.009207
7,40,0.019861,0.009186
7,41,0.012401,0.009247
7,42,0.017706,0.009241
7,43,0.013152,0.009230
7,44,0.013027,0.009186
7,45,0.013679,0.009219
7,46,0.013444,0.009171
7,47,0.017127,0.009183
7,48,0.013220,0.009654
7,49,0.012385,0.009577
7,50,0.012944,0.009545
7,51,0.012912,0.009514
7,52,0.014517,0.009580
7,53,0.012898,0.009513
7,54,0.017360,0.009549
7,55,0.026689,0.009504
7,56,0.015157,0.009584
7,57,0.013042,0.009565
7,58,0.014015,0.009556
7,59,0.018415,0.009623
7,60,0.011476,0.009569
7,61,0.014267,0.009562
7,62,0.014855,0.009531
7,63,0.017847,0.009680
7,64,0.014705,0.009895
7,65,0.013972,0.009593
7,66,0.020582,0.009553
7,67,0.014451,0.009583
7,68,0.011205,0.009566
7,69,0.015572,0.009511
7,70,0.013927,0.009408
7,71,0.012019,0.009398
7,72,0.013232,0.009393
7,73,0.013422,0.009424
7,74,0.012365,0.009459
7,75,0.012254,0.009474
7,76,0.012860,0.009418
7,77,0.012414,0.009374
7,78,0.015648,0.009368
7,79,0.012571,0.009332
7,80,0.014190,0.009370
7,81,0.013902,0.009395
7,82,0.011635,0.009368
7,83,0.012123,0.009297
7,84,0.015962,0.009331
7,85,0.011612,0.009369
7,86,0.011836,0.009308
7,87,0.014469,0.009322
7,88,0.013729,0.009301
7,89,0.016592,0.009316
7,90,0.012150,0.009218
7,91,0.019119,0.009261
7,92,0.012440,0.009190
7,93,0.012077,0.009210
7,94,0.015605,0.009216
7,95,0.012701,0.009211
7,96,0.011827,0.009233
7,97,0.011931,0.009276
7,98,0.016779,0.009211
7,99,0.013121,0.009221
7,100,0.012426,0.009253
7,101,0.015866,0.009223
7,102,0.011244,0.009194
7,103,0.016435,0.009258
7,104,0.012581,0.009243
7,105,0.011459,0.009204
7,106,0.014633,0.009202
7,107,0.014034,0.009195
7,108,0.013825,0.009322
7,109,0.021253,0.009195
7,110,0.019340,0.009229
7,111,0.013540,0.009186
7,112,0.013687,0.009188
7,113,0.011719,0.009230
7,114,0.015258,0.009320
7,115,0.012251,0.009219
7,116,0.012321,0.009214
7,117,0.021904,0.009259
7,118,0.014130,0.009208
7,119,0.015952,0.009261
7,120,0.026251,0.009285
7,121,0.013752,0.009281
7,122,0.019008,0.009217
7,123,0.011515,0.009220
7,124,0.016127,0.009199
7,125,0.014926,0.009231
7,126,0.012492,0.009199
7,127,0.018520,0.009193
7,128,0.011239,0.009209
7,129,0.013154,0.009175
7,130,0.015132,0.009129
7,131,0.014290,0.009177
7,132,0.011701,0.009141
7,133,0.014151,0.009125
7,134,0.013652,0.009144
7,135,0.012091,0.009189
7,136,0.015085,0.009163
7,137,0.011684,0.009250
7,138,0.012679,0.009237
7,139,0.016233,0.009148
7,140,0.017760,0.009150
7,141,0.013471,0.009212
7,142,0.014839,0.009164
7,143,0.013252,0.009168
7,144,0.016939,0.009184
7,145,0.011310,0.009213
7,146,0.011700,0.009166
7,147,0.013830,0.009191
7,148,0.012289,0.009208
7,149,0.017606,0.009167
7,150,0.012889,0.009184
7,151,0.012095,0.009137
7,152,0.020026,0.009200
7,153,0.013816,0.009237
7,154,0.014642,0.009199
7,155,0.011506,0.009202
7,156,0.015237,0.009231
7,157,0.017709,0.009243
7,158,0.018035,0.009153
7,159,0.014063,0.009171
7,160,0.011389,0.009192
7,161,0.011841,0.009172
7,162,0.015963,0.009164
7,163,0.012147,0.009140
7,164,0.013876,0.009203
7,165,0.011141,0.009123
