nbp,iteration,calc_transfer_s,display_s
7,166,0.014042,0.009156
7,167,0.013703,0.009155
7,168,0.015373,0.009122
7,169,0.014328,0.009098
7,170,0.017141,0.009260
7,171,0.011528,0.009188
7,172,0.012782,0.009131
7,173,0.018800,0.009107
7,174,0.013565,0.009087
7,175,0.015439,0.009081
7,176,0.012596,0.009174
7,177,0.016807,0.009095
7,178,0.012342,0.009155
7,179,0.016122,0.009122
7,180,0.012359,0.009117
7,181,0.014268,0.009176
7,182,0.013919,0.009100
7,183,0.013075,0.009077
7,184,0.012500,0.009141
7,185,0.015590,0.009148
7,186,0.013374,0.009125
7,187,0.013174,0.009115
7,188,0.019646,0.009100
7,189,0.011751,0.009113
7,190,0.016865,0.009077
7,191,0.011167,0.009109
7,192,0.016585,0.009124
7,193,0.016740,0.009104
7,194,0.012919,0.009091
7,195,0.012684,0.009096
7,196,0.015920,0.009162
7,197,0.011814,0.009145
7,198,0.013128,0.009497
