nbp,iteration,calc_transfer_s
6,0,0.002057
6,1,0.018871
6,2,0.035666
6,3,0.032904
6,4,0.044541
6,5,0.037739
6,6,0.030521
6,7,0.032914
6,8,0.036359
6,9,0.039261
6,10,0.033929
6,11,0.031058
6,12,0.034132
6,13,0.035093
6,14,0.031821
6,15,0.029599
6,16,0.033848
6,17,0.035248
6,18,0.035154
6,19,0.029486
6,20,0.033851
6,21,0.031211
6,22,0.032934
6,23,0.038602
6,24,0.032514
6,25,0.037349
6,26,0.032812
6,27,0.033669
6,28,0.047482
6,29,0.034134
6,30,0.033631
6,31,0.043410
6,32,0.032442
6,33,0.034410
6,34,0.034888
6,35,0.035959
6,36,0.034818
6,37,0.030716
6,38,0.033032
6,39,0.031396
6,40,0.038285
6,41,0.034373
6,42,0.034081
6,43,0.034850
6,44,0.033489
6,45,0.040116
6,46,0.037966
6,47,0.025531
6,48,0.038246
6,49,0.041750
6,50,0.043598
6,51,0.035299
6,52,0.031465
6,53,0.034144
6,54,0.043945
6,55,0.037220
6,56,0.033660
6,57,0.041532
6,58,0.038733
6,59,0.043923
6,60,0.037408
6,61,0.035143
6,62,0.034753
6,63,0.037066
6,64,0.034546
6,65,0.040429
6,66,0.043254
6,67,0.030059
6,68,0.038532
6,69,0.037940
6,70,0.037827
6,71,0.038100
6,72,0.042063
6,73,0.035312
6,74,0.036115
6,75,0.044672
6,76,0.038739
6,77,0.031259
6,78,0.032919
6,79,0.032342
6,80,0.033058
6,81,0.033117
6,82,0.036215
6,83,0.035017
6,84,0.039161
6,85,0.031697
6,86,0.038723
6,87,0.037724
6,88,0.037357
6,89,0.034188
6,90,0.035799
6,91,0.034872
6,92,0.033762
6,93,0.031176
6,94,0.045360
6,95,0.038001
6,96,0.036758
6,97,0.034851
6,98,0.034415
6,99,0.034276
6,100,0.032168
6,101,0.033140
6,102,0.039501
6,103,0.042629
6,104,0.048048
6,105,0.042636
6,106,0.034210
6,107,0.029235
6,108,0.036860
6,109,0.033811
6,110,0.033505
6,111,0.033242
6,112,0.035890
6,113,0.036921
6,114,0.037805
6,115,0.034434
6,116,0.046768
6,117,0.042679
6,118,0.029849
6,119,0.036306
6,120,0.037314
6,121,0.037834
6,122,0.038251
6,123,0.036374
6,124,0.039958
6,125,0.033897
6,126,0.037377
6,127,0.037905
6,128,0.033585
6,129,0.031999
6,130,0.044766
6,131,0.035017
6,132,0.045090
6,133,0.042503
6,134,0.034042
6,135,0.033907
6,136,0.037093
6,137,0.055151
6,138,0.032767
6,139,0.047433
6,140,0.033223
6,141,0.037949
6,142,0.033318
6,143,0.035859
6,144,0.034368
6,145,0.032428
6,146,0.032643
6,147,0.042829
6,148,0.035208
6,149,0.043818
6,150,0.030232
6,151,0.033319
6,152,0.033870
6,153,0.034662
6,154,0.032415
6,155,0.036287
6,156,0.034131
6,157,0.036169
6,158,0.039126
6,159,0.042831
6,160,0.034146
6,161,0.036683
6,162,0.033501
6,163,0.041183
6,164,0.036071
6,165,0.033703
6,166,0.040247
6,167,0.038472
6,168,0.041441
6,169,0.033368
6,170,0.037225
6,171,0.035321
6,172,0.032386
6,173,0.038832
6,174,0.037467
6,175,0.037550
6,176,0.039706
6,177,0.037726
6,178,0.037739
6,179,0.032511
6,180,0.041515
6,181,0.038535
6,182,0.039663
6,183,0.029548
6,184,0.041267
6,185,0.043805
6,186,0.045058
6,187,0.038769
6,188,0.036765
6,189,0.031086
6,190,0.035774
6,191,0.034792
6,192,0.035524
6,193,0.031341
6,194,0.030476
6,195,0.030140
6,196,0.041038
6,197,0.043436
6,198,0.033348
