nbp,iteration,calc_transfer_s
5,0,0.001969
5,1,0.009824
5,2,0.042749
5,3,0.007007
5,4,0.040926
5,5,0.005997
5,6,0.047764
5,7,0.001932
5,8,0.049836
5,9,0.000014
5,10,0.053588
5,11,0.002272
5,12,0.047265
5,13,0.002770
5,14,0.050924
5,15,0.002090
5,16,0.051892
5,17,0.002648
5,18,0.051273
5,19,0.002647
5,20,0.049668
5,21,0.002122
5,22,0.051796
5,23,0.002835
5,24,0.050631
5,25,0.002031
5,26,0.052009
5,27,0.002153
5,28,0.051813
5,29,0.002497
5,30,0.051378
5,31,0.002594
5,32,0.051434
5,33,0.000013
5,34,0.049067
5,35,0.002069
5,36,0.052001
5,37,0.003551
5,38,0.049763
5,39,0.002218
5,40,0.050309
5,41,0.002684
5,42,0.051359
5,43,0.002578
5,44,0.051354
5,45,0.004721
5,46,0.044993
5,47,0.003274
5,48,0.063682
5,49,0.006753
5,50,0.046005
5,51,0.000112
5,52,0.051646
5,53,0.002623
5,54,0.044717
5,55,0.004430
5,56,0.048398
5,57,0.003135
5,58,0.048368
5,59,0.002766
5,60,0.049261
5,61,0.002801
5,62,0.048494
5,63,0.002476
5,64,0.049230
5,65,0.002865
5,66,0.045300
5,67,0.003688
5,68,0.046441
5,69,0.002784
5,70,0.048284
5,71,0.002240
5,72,0.049238
5,73,0.002741
5,74,0.048876
5,75,0.002525
5,76,0.049819
5,77,0.001929
5,78,0.047553
5,79,0.002649
5,80,0.048914
5,81,0.002615
5,82,0.048964
5,83,0.002507
5,84,0.045560
5,85,0.003889
5,86,0.048078
5,87,0.003630
5,88,0.048736
5,89,0.003028
5,90,0.048604
5,91,0.002033
5,92,0.048137
5,93,0.002783
5,94,0.048920
5,95,0.003155
5,96,0.050541
5,97,0.002641
5,98,0.048679
5,99,0.002396
5,100,0.047403
5,101,0.001966
5,102,0.048566
5,103,0.002685
5,104,0.049052
5,105,0.002631
5,106,0.048969
5,107,0.002268
5,108,0.044387
5,109,0.004791
5,110,0.049213
5,111,0.002607
5,112,0.045048
5,113,0.004005
5,114,0.048143
5,115,0.002597
5,116,0.048957
5,117,0.002063
5,118,0.045545
5,119,0.003226
5,120,0.044412
5,121,0.004949
5,122,0.045703
5,123,0.003648
5,124,0.045988
5,125,0.003009
5,126,0.044981
5,127,0.003903
5,128,0.046825
5,129,0.002272
5,130,0.046941
5,131,0.002910
5,132,0.046418
5,133,0.002627
5,134,0.049019
5,135,0.002638
5,136,0.048155
5,137,0.002148
5,138,0.044215
5,139,0.004787
5,140,0.049062
5,141,0.002249
5,142,0.049070
5,143,0.002661
5,144,0.046325
5,145,0.002122
5,146,0.045924
5,147,0.002984
5,148,0.045379
5,149,0.003459
5,150,0.046497
5,151,0.002156
5,152,0.048234
5,153,0.002156
5,154,0.046317
5,155,0.002606
5,156,0.048452
5,157,0.002604
5,158,0.044131
5,159,0.005015
5,160,0.048642
5,161,0.002797
5,162,0.048448
5,163,0.002553
5,164,0.044219
5,165,0.004826
5,166,0.048191
5,167,0.034113
5,168,0.015024
5,169,0.037428
5,170,0.013381
5,171,0.036181
5,172,0.015022
5,173,0.035036
5,174,0.016454
5,175,0.037267
5,176,0.013714
5,177,0.039841
5,178,0.009843
5,179,0.040587
5,180,0.009517
5,181,0.041643
5,182,0.008099
5,183,0.044794
5,184,0.004495
5,185,0.046353
5,186,0.002077
5,187,0.046537
5,188,0.002655
5,189,0.047226
5,190,0.002672
5,191,0.046026
5,192,0.002791
5,193,0.046665
5,194,0.002205
5,195,0.048417
5,196,0.001812
5,197,0.045256
5,198,0.003619
