nbp,iteration,calc_transfer_s
7,0,0.000066
7,1,0.013307
7,2,0.041581
7,3,0.009363
7,4,0.042190
7,5,0.011437
7,6,0.042481
7,7,0.009638
7,8,0.042614
7,9,0.000623
7,10,0.052700
7,11,0.001855
7,12,0.051308
7,13,0.002873
7,14,0.050264
7,15,0.002295
7,16,0.051221
7,17,0.002061
7,18,0.051107
7,19,0.002284
7,20,0.049117
7,21,0.002337
7,22,0.049446
7,23,0.002303
7,24,0.051200
7,25,0.000011
7,26,0.052750
7,27,0.003430
7,28,0.053941
7,29,0.002425
7,30,0.050413
7,31,0.002013
7,32,0.050480
7,33,0.005412
7,34,0.051141
7,35,0.001437
7,36,0.052280
7,37,0.003885
7,38,0.050389
7,39,0.000013
7,40,0.049654
7,41,0.003160
7,42,0.050088
7,43,0.000008
7,44,0.049364
7,45,0.002509
7,46,0.048432
7,47,0.002173
7,48,0.047888
7,49,0.002216
7,50,0.048522
7,51,0.002284
7,52,0.046516
7,53,0.002935
7,54,0.048234
7,55,0.001405
7,56,0.048160
7,57,0.002051
7,58,0.047520
7,59,0.002332
7,60,0.049907
7,61,0.010516
7,62,0.042177
7,63,0.006389
7,64,0.047973
7,65,0.002379
7,66,0.048064
7,67,0.001335
7,68,0.053339
7,69,0.001694
7,70,0.051633
7,71,0.003097
7,72,0.047784
7,73,0.001959
7,74,0.052377
7,75,0.002223
7,76,0.057395
7,77,0.002432
7,78,0.045502
7,79,0.002456
7,80,0.050808
7,81,0.001840
7,82,0.052030
7,83,0.001879
7,84,0.051479
7,85,0.002954
7,86,0.049782
7,87,0.002155
7,88,0.051102
7,89,0.002190
7,90,0.050359
7,91,0.002083
7,92,0.052771
7,93,0.001715
7,94,0.051716
7,95,0.001406
7,96,0.052820
7,97,0.002214
7,98,0.049833
7,99,0.001999
7,100,0.048791
7,101,0.002197
7,102,0.051132
7,103,0.003714
7,104,0.050544
7,105,0.019974
7,106,0.031200
7,107,0.018837
7,108,0.035699
7,109,0.014200
7,110,0.038622
7,111,0.011298
7,112,0.039745
7,113,0.008939
7,114,0.045109
7,115,0.003308
7,116,0.047966
7,117,0.002626
7,118,0.048286
7,119,0.002404
7,120,0.051079
7,121,0.002586
7,122,0.046847
7,123,0.002648
7,124,0.043673
7,125,0.004943
7,126,0.048938
7,127,0.002360
7,128,0.047482
7,129,0.002680
7,130,0.046916
7,131,0.002583
7,132,0.046532
7,133,0.001540
7,134,0.043883
7,135,0.005423
7,136,0.046119
7,137,0.002736
7,138,0.044590
7,139,0.004221
7,140,0.047866
7,141,0.002280
7,142,0.044622
7,143,0.009773
7,144,0.043127
7,145,0.006136
7,146,0.050024
7,147,0.002640
7,148,0.045870
7,149,0.002541
7,150,0.048383
7,151,0.002325
7,152,0.048507
7,153,0.002192
7,154,0.047595
7,155,0.002730
7,156,0.048188
7,157,0.002406
7,158,0.048379
7,159,0.002707
7,160,0.043548
7,161,0.006249
7,162,0.046431
7,163,0.001985
7,164,0.048084
7,165,0.003569
7,166,0.048846
7,167,0.001866
7,168,0.043682
7,169,0.005024
7,170,0.047940
7,171,0.001448
7,172,0.048926
7,173,0.002553
7,174,0.046347
7,175,0.002401
7,176,0.048884
7,177,0.001594
7,178,0.049008
7,179,0.002236
7,180,0.048614
7,181,0.001878
7,182,0.045794
7,183,0.002882
7,184,0.046473
7,185,0.001926
7,186,0.043979
7,187,0.004680
7,188,0.047712
7,189,0.002211
7,190,0.047554
7,191,0.002966
7,192,0.048166
7,193,0.002355
7,194,0.047578
7,195,0.002031
7,196,0.046005
7,197,0.002307
7,198,0.047099
